Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,61.240002,61.459999,59.910000,60.400002,59.346313,4283400
2018-02-27,60.209999,60.400002,58.450001,58.470001,57.449978,5515800
2018-02-28,58.450001,59.000000,57.020000,57.040001,56.044926,5429600
2018-03-01,57.189999,57.830002,56.650002,57.119999,56.123531,4270400
2018-03-02,56.709999,57.630001,56.040001,57.450001,56.447773,6565600
2018-03-05,57.240002,59.349998,57.040001,58.950001,57.921608,6540700
2018-03-06,59.340000,59.340000,58.349998,58.810001,57.784054,3803500
2018-03-07,58.240002,59.139999,57.459999,57.720001,56.713070,5257300
2018-03-08,57.650002,58.000000,56.630001,57.080002,56.084225,4725100
2018-03-09,57.580002,58.380001,57.480000,58.029999,57.017654,4359900
2018-03-12,58.000000,59.259998,57.869999,58.980000,57.951084,4073400
2018-03-13,59.090000,59.500000,58.279999,58.549999,57.773468,3111400
2018-03-14,58.709999,59.369999,58.580002,58.919998,58.138557,4076700
2018-03-15,59.240002,59.869999,57.720001,57.910000,57.141956,6348700
2018-03-16,58.070000,59.330002,58.070000,58.529999,57.753735,4680800
2018-03-19,57.910000,58.459999,56.630001,57.020000,56.263763,4394300
2018-03-20,57.639999,59.349998,57.540001,58.480000,57.704399,4343200
2018-03-21,58.919998,61.630001,58.860001,61.500000,60.684345,7388200
2018-03-22,60.540001,61.470001,60.130001,60.660000,59.855484,6470600
2018-03-23,61.360001,63.049999,61.070000,61.560001,60.743553,6852100
2018-03-26,62.389999,62.689999,60.730000,62.590000,61.759888,4982500
2018-03-27,63.000000,63.049999,60.380001,60.799999,59.993629,4447500
2018-03-28,60.810001,61.590000,58.750000,58.900002,58.118828,6661300
2018-03-29,59.509998,60.680000,59.209999,60.410000,59.608799,5891200
2018-04-02,60.090000,60.130001,56.790001,58.169998,57.398506,5988800
2018-04-03,58.660000,59.320000,57.360001,59.200001,58.414852,3837800
2018-04-04,58.020000,59.250000,57.630001,59.080002,58.296444,3572700
2018-04-05,59.419998,60.779999,59.369999,60.110001,59.312778,5008300
2018-04-06,59.500000,60.270000,57.740002,58.860001,58.079361,10749700
2018-04-09,59.380001,61.029999,59.119999,59.830002,59.036495,5066500
2018-04-10,60.759998,62.700001,60.700001,61.810001,60.990234,6197700
2018-04-11,61.869999,63.470001,61.860001,63.200001,62.361797,5536200
2018-04-12,63.110001,63.549999,62.419998,62.750000,61.917767,4137000
2018-04-13,63.430000,63.720001,62.689999,63.029999,62.194050,5187600
2018-04-16,63.580002,63.810001,62.820000,63.459999,62.618351,4362100
2018-04-17,63.660000,64.370003,63.349998,64.059998,63.210392,5225800
2018-04-18,64.809998,67.129997,64.809998,66.349998,65.470016,8189900
2018-04-19,66.440002,67.239998,65.529999,66.080002,65.203606,5278900
2018-04-20,65.919998,66.940002,65.370003,66.489998,65.608154,5226000
2018-04-23,66.139999,67.339996,65.870003,66.779999,65.894318,6245700
2018-04-24,66.879997,67.250000,65.040001,66.089996,65.213463,4285900
2018-04-25,65.949997,67.080002,65.709999,66.830002,65.943665,3054700
2018-04-26,67.019997,67.699997,66.620003,67.500000,66.604767,2587700
2018-04-27,66.970001,67.470001,66.480003,67.050003,66.160744,3474900
2018-04-30,66.620003,68.180000,66.500000,67.320000,66.427155,4030800
2018-05-01,67.169998,67.209999,65.910004,66.519997,65.637764,5781800
2018-05-02,66.690002,66.800003,65.089996,65.570000,64.700363,6070600
2018-05-03,65.330002,66.550003,64.889999,66.029999,65.154266,4927800
2018-05-04,65.949997,66.760002,65.510002,66.580002,65.696968,3667800
